Id #,File#,Control #,Equip't Description,Equip't type,Manufacturer,Model #,Cal date,Cal due,WW DONE,WW DUE,Serial #,Serial no,Cal interval,Area,Status,Remarks,Cal spec no,D1,Description,Manufacturer1,Model no,Control no,Accuracy,Cal Date1,Cal Due1,Traceability,Function Tested,F1,F2,F3,temp,rh(%),calibrated by,reviewed by,report no,Owner,Date Enrolled
884,0,CN 884,,Digital Thermohygrometer,Omega,iSD-TH,11-Nov-11,11-Nov-11,-,-,MI9330669,FCH4125467,Quarterly,PROCESS TECH ROOM 192.168.1.209,Inactive,PULLOUT,TFP05-001,-,Temperature Humidity Meter,Fluke,iSD-TH,CN 885,N/A,04/28/23,05/02/24,FAST CAL,Please,see,attached,file,-,-,S. Ecito,E. Raon,17,PM,2019-11-07 00:00:00
543,0,CN 543,#02 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,10-Sep-25,10-Dec-25,-,-,1050267, 42180817,Quarterly,TRUNK LINE 2 192.168.1.181,Active,Running,TFP05-056,Humidity Meter,Temperature,Fluke,iSD-TH,CN 854,N/A,06/02/2025,06/02/2026,SONJU,Please,See,Attached,File,-,-,K.Lotino,J. Cruz,59,PM,2012-03-27 00:00:00
544,0,CN 544,#03 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,11-Sep-25,11-Dec-25,-,-,1050287,44841347,Quarterly,TRUNK LINE 1 192.168.1.191,Active,Running,TFP05-014,Humidity Meter,Temperature,Fluke,iSD-TH,CN 885,N/A,12/09/24,12/09/25,SONJU,Please,see,attached,file,-,-,K.Lotino,A.Cahigan,58,PM,2012-03-27 00:00:00
545,0,CN 545,#04 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,10-Oct-25,11-Jan-26,-,-,1050269,42180817,Quarterly,TRUNK LINE 6 192.168.1.190,Active,Running,TFP05-056,Humidity Meter,Temperature,Fluke,iSD-TH,CN 854,N/A,06/02/25,06/02/26,SONJU,Please,See,Attached,File,-,-,K.Lotino,H. Eugenio,58,PM,2012-03-27 00:00:00
546,0,CN 546,#05 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,14-Nov-25,14-Feb-26,-,-,1050270,42180817,Quarterly,LPI ROOM 192.168.1.183,Active,Running,TFP05-056,Humidity Meter,Temperature,Fluke,iSD-TH,CN 854,N/A,06/02/2025,06/02/2026,SONJU,Please,See,Attached,File,-,-,K.Lotino,H. Eugenio,52,PM,2012-03-27 00:00:00
547,0,CN 547,#06 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,10-Mar-25,11-Nov-11,-,-,1050265,42180817,Quarterly,BATCHING AREA,INACTIVE,PULLOUT,TFP05-014,Humidity Meter,Temperature,Fluke,iSD-TH,CN 854,N/A,05/27/24,05/27/25,SONJU,Please,see,attached,file,-,-,K. Lotino,S. Asoy,58,PM,2012-03-27 00:00:00
548,0,CN 548,#07 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,11-Nov-11,11-Nov-11,-,-,1050261,FCH4125467,Quarterly,,Inactive,RELOCATED,TFP05-014,-,Psychrometer,Fluke,iSD-TH,CN 885,N/A,05/02/22,05/02/23,FAST CAL,Please,see,attached,file,22.3øC,50.6%,S. Ecito,I. Garcia,46,PM,2012-03-27 00:00:00
376,0,CN 376,#08 Digital Thermohygrometer,Digital Thermohygrometer,TFA,AZ-HT-02,11-Nov-11,11-Nov-11,-,-,HT02100808-23,10169546,Quarterly,N/A,Inactive,SCRAP,TFP05-014,Psychrometer,Digital,Prostat,AZ-HT-02,CN 033,N/A,09/21/18,09/21/19,EISI,Please,See,Attached,File,22.5øC,51.4%,R. Dela Pe¤a,I. Garcia,39,PM,2011-02-15 00:00:00
549,0,CN 549,#09 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,16-Sep-25,16-Dec-25,-,-,1050272, 42180817,Quarterly,TRUNK LINE 4 192.168.1.182,Active,Running,TFP05-056,Humidity Meter,Temperature,Fluke,iSD-TH,CN 854,N/A,06/02/25,06/02/26,SONJU,Please,See,Attached,File,,,C.Abanico,N.Cruz,58,PM,2012-03-27 00:00:00
550,0,CN 550,#10 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,17-Sep-25,17-Dec-25,-,-,1050266,44841347,Quarterly,IQA TRAY AREA 192.168.1.187,Active,Running,TFP05-056,Humidity Meter,Temperature,Fluke,iSD-TH,CN 885,N/A,12/09/24,12/09/25,SONJU,Please,See,Attached,File,,,M. Soriano,A.Cahigan,57,PM,2012-03-27 00:00:00
551,0,CN 551,#11 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,18-Sep-24,11-Nov-11,-,-,1050268,44841347,Quarterly,PL9 192.168.1.185,Inactive,For pull out,TFP05-014,Humidity Meter,Temperature,Fluke,iSD-TH,CN 885,N/A,12/05/23,12/05/24,SONJU,Please,See,Attached,File,,,C. Abanico,E. Raon,53,PM,2012-03-27 00:00:00
552,0,CN 552,#12 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,20-Nov-25,20-Feb-26,-,-,1050263,42180817,Quarterly,BAKE PREPARATION 192.168.1.184,Active,Running,TFP05-014,Humidity Meter,Temperature,Fluke,iSD-TH,CN 854,N/A,06/02/25,06/02/26,SONJU,Please,See,Attached,File,,,K.Lotino,H.Eugenio,58,PM,2012-03-27 00:00:00
553,0,CN 553,#13 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,11-Nov-11,11-Nov-11,-,-,1050262,FCH4125467,Quarterly,FVI/OQA AREA 192.168.1.186,Inactive,Relocated,TFP05-014,-,Psychrometer,Fluke,iSD-TH,CN 885,N/A,04/28/23,05/02/24,FAST CAL,Please,See,Attached,File,,,L. Paras,I. Garcia,49,PM,2012-03-27 00:00:00
580,0,CN 580,#14 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,11-Nov-11,11-Nov-11,-,-,2410299,FCH4125467,Quarterly,BAKE PREPARATION 192.168.1.192,Inactive,Pullout,TFP05-014,-,Psychrometer,Fluke,iSD-TH,CN 885,N/A,04/28/23,05/02/24,FAST CAL,Please,see,attached,file,,,L. Paras,I. Garcia,44,PM,2012-04-01 00:00:00
707,0,CN 707,#15 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,11-Nov-11,11-Nov-11,-,-,TH-15420051,FCH4125467,Quarterly,PL3 OVEN ROOM192.168.1.193,Inactive,FOR PULL-OUT,TFP05-014,-,Psychrometer,Fluke,iSD-TH,CN 885,N/A,05/02/22,05/02/23,FAST CAL,Please see attached file,,,,22.1øC,53.4%,S. Ecito,I. Garcia,28,PM,2015-12-02 00:00:00
708,0,CN 708,#16 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,11-Nov-11,11-Nov-11,-,-,TH-15420050,FCH4125467,Quarterly,PL3 BATCHING 192.168.1.195,Inactive,FOR PULL-OUT,TFP05-014,-,Psychrometer,Fluke,iSD-TH,CN 885,N/A,05/02/22,05/02/23,FAST CAL,Please,See,Attached,File,22.5øC,49.8%,S. Ecito,I. Garcia,28,PM,2015-12-02 00:00:00
709,0,CN 709,#17 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,13-Jul-25,13-Jan-26,-,-,TH-15420048, 42180817,Quarterly, BATCHING AREA 192.168.1.188,ACTIVE,RUNNING,TFP05-056,Humidity Meter,Temperature,Fluke,iSD-TH,CN 854,N/A,06/02/25,06/02/25,SONJU,Please,See,Attached,File,-,-,C. Abanico,A. Cahigan,2,PM,2015-12-02 00:00:00
713,0,CN 713,#18 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,30-Sep-25,30-Dec-25,-,-,15420052,44841347,Quarterly,TRAFFIC/BOXING AREA 192.168.1.196,Active,Running,TFP05-056,Humidity Meter,Temperature,Fluke,iSD-TH,CN 854,N/A,06/02/2025,06/02/2026,SONJU,Please,See,Attached,File,-,-,K.Lotino,H. Eugenio,34,PM,2015-12-29 00:00:00
714,0,CN 714,#19 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,21-Sep-25,21-Dec-25,-,-,15420049,44841347,Quarterly,STORE ROOM 192.168.1.197,Active,Running,TFP05-056,Humidity Meter,Temperature,Fluke,iSD-TH,CN 885,N/A,12/09/24,12/09/25,SONJU,Please,see,attached,file,-,-,C.Abanico,A. Cahigan,38,PM,2015-12-29 00:00:00
735,0,CN 735,#20 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,06-Sep-25,06-Dec-25,-,-,16140733,44841347,Quarterly,ADLT TRUNK LINE 1 192.168.1.199,Active,Running,TFP05-014,Humidity Meter,Temperature,Fluke,iSD-TH,CN 854,N/A,6/2/2025,6/2/2026,SONJU,Please,see,attached,file,-,-,K.Lotino,00,38,PM,2016-06-10 00:00:00
736,0,CN 736,#21 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,11-Nov-11,11-Nov-11,-,-,16140735,44841347,Quarterly,MEMS TRUNK LINE 1 192.168.1.198,Inactive,Scrap,TFP05-014,Humidity Meter,Temperature,Fluke,iSD-TH,CN 885,N/A,12/05/23,12/05/24,SONJU,Please,see,attached,File,-,-,S. Ecito,E. Raon,32,PM,2016-06-10 00:00:00
737,0,CN 737,#22 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,08-Sep-25,08-Dec-25,-,-,16140736,42180817,Quarterly,BRANDER TRUNK L2 192.168.1.202,Active,Running,TFP05-056,Humidity Meter,Temperature,Fluke,Fluke 971,CN 854,N/A,06/02/25,06/02/26,SONJU,Please,see,attached,file,-,-,M. Soriano,J. Cruz,37,PM,2016-06-10 00:00:00
739,0,CN 739,#23 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,11-Nov-11,11-Nov-11,-,-,M19330675,M19330675,Quarterly,,Inactive,FACILITIES CUSTODY,TFP05-014,Calibrator,Psychrometer,Fluke,iSD-TH,CN 885,N/A,05/10/21,05/10/22,SONJU,Please,See,Attached,File,20.5øC,49.9%,S. Ecito,I. Garcia,19,PM,2016-06-10 00:00:00
790,0,CN 790,#24 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,20-Oct-25,20-Jan-26,-,-,17130584,42180817,Quarterly,ADLT 1 TRUNK LINE 9 192.168.1.203,Active,Running,TFP05-056,Humidity Meter,Temperature,Fluke,iSD-TH,CN 854,N/A,06/02/25,06/02/26,SONJU,Please,See,Attached,File,,,C.Abanico,H. Eugenio,35,PM,2017-04-07 00:00:00
823,0,CN 823,#25 Digital Thermohygrometer,Digital Thermohygrometer,Omega,ISD-TH,11-Nov-11,11-Nov-11,-,-,17130583,FCH4125467,Quarterly,,Inactive,FACILITIES CUSTODY,TFP05-014,-,Psychrometer,Fluke,ISD-TH,CN 885,N/A,05/10/21,05/10/22,SONJU,Please,See,Attached,File,21.9øC,46.3%,L. Paras,I. Garcia,15,PM,2018-02-23 00:00:00
824,0,CN 824,#26 Digital Thermohygrometer,Digital Thermohygrometer,Omega,ISD-TH,09-Oct-25,10-Jan-26,-,-,17130587,42180817,Quarterly,ADLT PMC 192.168.1.205,Active,Running,TFP05-056,Humidity Meter,Temperature,Fluke,ISD-TH,CN 854,N/A,06/02/25,06/02/26,SONJU,Please,See,Attached,File,-,-,C. Abanico,H. Eugenio,31,PM,2018-02-26 00:00:00
825,0,CN 825,#27 Digital Thermohygrometer,Digital Thermohygrometer,Omega,ISD-TH,13-Sep-25,13-Dec-25,-,-,17130585,42180817,Quarterly,BRANDER TRUNK L1 192.168.1.206,Active,Running,TFP05-014,Humidity Meter,Temperature,Fluke,ISD-TH,CN 854,N/A,06/02/25,06/02/26,SONJU,Please,See,Attached,File,-,-,K.Lotino,A.Cahigan,20,PM,2018-02-26 00:00:00
738,0,CN 738,#28 Digital Thermohygrometer,Digital Thermohygrometer,ACU RITE,00613,11-Nov-11,11-Nov-11,-,-,ACU RITE - 001,50-00-11426,Quarterly,N/A,Inactive,SCRAP,TFP05-014,Hygro,Digital,Omega,00613,CN 029,N/A,12/27/17,12/27/18,EISI,Please,See,Attached,File,22.4øC,51.5%,R. Dela Pe¤a,I. Garcia,8,PM,2016-06-10 00:00:00
853,0,CN 853,#29 Digital Thermohygrometer,Digital Thermohygrometer,ACU RITE,AZ-HT-02,11-Nov-11,11-Nov-11,-,-,HT02100808-24,10169546,Quarterly,PL9,Inactive,InActive,TFP05-014,-,Psychrometer,Fluke,AZ-HT-02,CN 033,N/A,09/21/18,09/21/19,DOU YEE,Please,See,Attached,File,21.4øC,50.6 %,R. Dela Pe¤a,I. Garcia,4,PM,2018-11-07 00:00:00
878,0,CN 878,#30 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,09-Oct-25,10-Jan-26,-,-,M19350684,42180817,Quarterly,Legacy PMC 192.168.1.208,Active,Running,TFP05-056,Humidity Meter,Temperature,Fluke,iSD-TH,CN 854,N/A,06/02/25,06/02/26,SONJU,Please,see,attached,file,,,K. Lotino,H. Eugenio,6,PM,2019-10-01 00:00:00
933,0,CN 933,#32 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,11-Nov-11,11-Nov-11,-,-,M19330675,FCH4125467,Quarterly,,Inactive,Inactive,TFP05-014,,Psychrometer,Fluke,iSD-TH,CN 885,N/A,05/26/20,05/26/21,ACCULAB,Please,See,Attached,File,48.2øC,23.8%,S. Ecito,I. Garcia,1,PM,2020-11-27 00:00:00
934,0,CN 934,#33 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,11-Nov-11,11-Nov-11,-,-,M19330671,FCH4125467,Quarterly,RFC   192.168.1.208,Inactive,AREA NOT BEING USED,TFP05-014,,Psychrometer,Fluke,iSD-TH,CN 854,N/A,04/28/23,05/02/24,FAST CAL,Please,See,Attached,File,,,,I. Garcia,11,PM,2020-11-27 00:00:00
943,0,CN 943,#34 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,08-Aug-25,08-Feb-26,-,-,M19350220,42180817,Quarterly,MEMS TRUNK L2 192.168.1.207,Active,Running,TFP05-014,Humidity Meter,Temperature,Fluke,iSD-TH,CN 854,N/A,06/02/2025,06/02/2026,SONJU,Please,See,Attached,File,,,K.Lotino,A. Cahigan,15,PM,2021-04-13 00:00:00
944,0,CN 944,#35 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,01-Nov-25,01-Feb-26,-,-,M19350219,42180817,Quarterly,Residual 192.168.1.204,Active,Running,TFP05-014,Humidity Meter,Temperature,Fluke,iSD-TH,CN 854,N/A,06/02/2025,06/02/2026,SONJU,Please,See,Attached,File,,,K.Lotino,H.Eugenio,16,PM,2021-04-13 00:00:00
945,0,CN 945,#36 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,30-Oct-25,30-Jan-26,-,-,M19350217,42180817,Quarterly,ADLT 2 TRUNK 1 192.168.1.210,Active,Running,TFP05-056,Humidity Meter,Temperature,Fluke,iSD-TH,CN 854,N/A,06/02/2025,06/02/2026,SONJU,Please,See,Attached,File,,,K.Lotino,H.Eugenio,15,PM,2020-04-13 00:00:00
978,0,CN 978,#37 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,30-Oct-25,30-Jan-26,-,-,M21480035,42180817,Quarterly,ADLT 2 TRUNK L2 192.168.1.211,ACTIVE,RUNNING,TFP05-014,Humidity Meter,Temperature,Fluke,iSD-TH,CN 854,N/A,06/02/2025,06/02/2026,SONJU,Please,See,Attached,File,,,C. Abanico,H.Eugenio,14,PM,2022-02-21 00:00:00
979,0,CN 979,#38 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,27-Oct-25,27-Jan-26,-,-,M21480036,42180817,Quarterly,ADCV TRUNK L2 192.168.1.212,Active,Running,TFP05-056,Humidity Meter,Temperature,Fluke,iSD-TH,CN 854,N/A,06/02/2025,06/02/2026,SONJU,Please,See,Attached,File,,,C. Abanico,H. Eugenio,11,PM,2022-02-21 00:00:00
980,0,CN 980,#39 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,27-Oct-25,27-Jan-26,-,-,M21480037,42180817,Quarterly,ADCV TRUNK L1 192.168.1.214,Active,Running,TFP05-056,Humidity Meter,Temperature,Fluke,iSD-TH,CN 854,N/A,06/02/2025,06/02/2026,SONJU,Please,See,Attached,File,,,C. Abanico,H. Eugenio,11,PM,2022-02-21 00:00:00
981,0,CN 981,#40 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,11-Nov-11,11-Nov-11,-,-,M21480039,44841347,Quarterly,,Inactive,For Installation,TFP05-014,-,Psychrometer,Fluke,iSD-TH,CN 885,N/A,12/05/23,12/05/24,SONJU,Please,See,Attached,File,23.2 øC,47.4 %,S. Ecito,I. Garcia,,PM,2022-02-21 00:00:00
982,0,CN 982,#41 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,14-Sep-25,14-Dec-25,-,-,M21480040,44841347,Quarterly,ADLT OQA 192.168.1.215,Active,Running,TFP05-014,Humidity Meter,Temperature,Fluke,iSD-TH,CN 885,N/A,12/09/24,12/09/25,SONJU,Please,See,Attached,File,,,C. Abanico,A. Cahigan,10,PM,2022-02-21 00:00:00
983,0,CN 983,#42 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,11-Nov-11,11-Nov-11,-,-,M21480042,44841347,Quarterly,,Inactive,For Installation,TFP05-014,-,Psychrometer,Fluke,iSD-TH,CN 885,N/A,12/05/23,12/05/24,SONJU,Please,See,Attached,File,23.2 øC,47.4 %,S. Ecito,I. Garcia,,PM,2022-02-21 00:00:00
984,0,CN 984,#43 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,15-Sep-25,15-Dec-25,-,-,M21480044,44841374,Quarterly,TRUNK LINE 9 192.168.1.189,Active,Running,TFP05-014,Humidity Meter,Temperature,Fluke,iSD-TH,CN 885,N/A,12/09/24,12/09/25,SONJU,Please,See,Attached,File,,,M. Soriano,A. Cahigan,13,PM,2022-02-21 00:00:00
1034,0,CN 1034,#44 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,01-Mar-25,11-Nov-11,-,-,M21480044,42180817,Quarterly,Standard Extension 192.168.1.201,Inactive,Pull-out,TFP05-014,Humidity Meter,Temperature,Fluke,iSD-TH,CN 854,N/A,05/27/24,05/27/25,SONJU,Please,See,Attached,File,,,C.Abanico,E. Raon,10,PM,2022-08-30 00:00:00
1058,0,CN 1058,#45 Digital Thermohygrometer,Digital Thermohygrometer,Omega,ISD-TH,21-Sep-25,21-Dec-25,-,-,M21480039,44841347,Quarterly,PL1- Standard Extension 192.168.1.200,Active,Running/ New enroll,TFP05-056,Humidity Meter,Temperature,Fluke,ISD-TH,CN 885,N/A,12/09/24,12/09/25,SONJU,Please,see,attached,file,,,C.Abanico,A. Cahigan,2,PM/Calibration,2025-03-21 00:00:00
30,0,CN 030,Digital Thermohygrometer,Digital Thermohygrometer,Omega,RH 71,11-Nov-11,11-Nov-11,-,-,50-00-11000,03000256,Quarterly,MEMS,Inactive,Red Tag,TFP05-004,-,Thermometer,Omega,RH 71,CN 140,N/A,11/11/11,04/27/17,,Sealing Temperature Calibration,Front,,Rear,22.6øC,51.2%,J. Atuan,I. Garcia,3,PM,2001-10-04 00:00:00
375,0,CN 375,Digital Thermo-Hygrometer#01,Digital Thermohygrometer,TFA,AZ-HT-02,11-Nov-11,11-Nov-11,-,-,HT02100808-21,D5020038,Quarterly,RESIDUAL,Inactive,SCRAP,TFP05-014,-,Humidity and,Vaisala,AZ-HT-02,CN 379,N/A,08/22/16,08/22/17,EISI,Please,see,attached,file,21.4øC,51.6 %,J. Atuan,I. Garcia,30,PM,2011-02-15 00:00:00
377,0,CN 377,Digital Thermo-Hygrometer#03,Digital Thermohygrometer,TFA,AZ-HT-02,11-Nov-11,11-Nov-11,-,-,HT02100808-24,D5020038,Quarterly,Pull out,Inactive,SCRAP,TFP05-014,-,Humidity and Temp.,Vaisala,AZ-HT-02,CN 379,N/A,08/22/16,08/22/17,EISI,Temperature and Relative,Humidity Calibration,-,-,23.2øC,48.5%,J. Atuan,I. Garcia,10,PM,2011-02-15 00:00:00
378,0,CN 378,Digital Thermo-Hygrometer#04,Digital Thermohygrometer,TFA,AZ-HT-02,11-Nov-11,11-Nov-11,-,-,HT02100808-25,D5020038,Quarterly,Pull out,Inactive,SCRAP,TFP05-014,-,Humidity and Temp.,Vaisala,AZ-HT-02,CN 379,N/A,08/22/16,08/22/17,EISI,Temperature and Relative,Humidity Calibration,-,-,21.6øC,50.3 %,B.Sta.Ana,I. Garcia,12,PM,2011-02-15 00:00:00
414,0,CN 414,Digital Thermo-Hygrometer#05,Digital Thermohygrometer,TFA,12A09,11-Nov-11,11-Nov-11,-,-,1050270,D5020038,Quarterly,N/A,Inactive,SCRAP,TFP05-014,-,Humidity and Temp.,Vaisala,12A09,CN 379,N/A,08/22/16,08/22/17,EISI,Temperature and Relative,Humidity Calibration,-,-,21.6øC,49.8%,C. Cabrera,I. Garcia,7,PM,2011-05-17 00:00:00
